NAME                                                            VERSION       TYPE 
babel-plugin-transform-es2015-modules-commonjs                  6.26.0        npm   
babel-plugin-transform-es2015-modules-systemjs                  6.24.1        npm   
babel-plugin-transform-es2015-modules-umd                       6.24.1        npm   
babel-plugin-transform-es2015-object-super                      6.24.1        npm   
babel-plugin-transform-es2015-parameters                        6.24.1        npm   
babel-plugin-transform-es2015-shorthand-properties              6.24.1        npm   
babel-plugin-transform-es2015-spread                            6.22.0        npm   
babel-plugin-transform-es2015-sticky-regex                      6.24.1        npm   
babel-plugin-transform-es2015-template-literals                 6.22.0        npm   
babel-plugin-transform-es2015-typeof-symbol                     6.23.0        npm   
babel-plugin-transform-es2015-unicode-regex                     6.24.1        npm   
babel-plugin-transform-exponentiation-operator                  6.24.1        npm   
babel-plugin-transform-regenerator                              6.26.0        npm   
babel-plugin-transform-strict-mode                              6.24.1        npm   
babel-polyfill                                                  6.26.0        npm   
babel-preset-current-node-syntax                                1.0.1         npm   
babel-preset-es2015                                             6.24.1        npm   
babel-preset-es2016                                             6.24.1        npm   
babel-preset-es2017                                             6.24.1        npm   
babel-preset-jest                                               27.0.6        npm   
babel-preset-latest                                             6.24.1        npm   
babel-register                                                  6.26.0        npm   
babel-runtime                                                   6.26.0        npm   
babel-template                                                  6.26.0        npm   
babel-traverse                                                  6.26.0        npm   
babel-types                                                     6.26.0        npm   
babylon                                                         6.18.0        npm   
balanced-match                                                  1.0.0         npm   
balanced-match                                                  1.0.2         npm   
base                                                            0.11.2        npm   
big.js                                                          5.2.2         npm   
binary-extensions                                               1.13.1        npm   
bindings                                                        1.5.0         npm   
boxen                                                           5.0.1         npm   
brace-expansion                                                 1.1.11        npm   
braces                                                          1.8.5         npm   
braces                                                          3.0.2         npm   
browser-process-hrtime                                          1.0.0         npm   
browser-resolve                                                 1.11.2        npm   
browser-stdout                                                  1.3.1         npm   
browserslist                                                    4.17.0        npm   
bs-logger                                                       0.2.6         npm   
bser                                                            2.1.1         npm   
buffer-crc32                                                    0.2.13        npm   
buffer-from                                                     1.1.2         npm   
builtin-modules                                                 1.1.1         npm   
cache-base                                                      1.0.1         npm   
cacheable-request                                               6.1.0         npm   
call-bind                                                       1.0.2         npm   
callsites                                                       3.1.0         npm   
camelcase                                                       1.2.1         npm   
camelcase                                                       5.3.1         npm   
caniuse-lite                                                    1.0.30001255  npm   
center-align                                                    0.1.3         npm   
chalk                                                           1.1.3         npm   
chalk                                                           2.4.2         npm   
char-regex                                                      1.0.2         npm   
